id_victima,sexo,genero,etnia,estado_civil,nacionalidad,discapacidad,profesion_registro_civil,instruccion
36,HOMBRE,SIN_DATO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ARTESANO/OFICIO,SIN_DATO
37,HOMBRE,SIN_DATO,OTROS,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
38,HOMBRE,TRANSGENERO FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
39,HOMBRE,TRANSGENERO FEMENINO,MESTIZO/A,SOLTERO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO
40,HOMBRE,TRANSGENERO MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
41,HOMBRE,TRANSGENERO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
42,MUJER,FEMENINO,AFRO,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
43,MUJER,FEMENINO,INDIGENA,CASADO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
44,MUJER,FEMENINO,MESTIZO/A,SOLTERO,COLOMBIA,NINGUNA,SIN_DATO,SIN_DATO
45,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,PROFESIONAL LICENCIADO,SIN_DATO
46,MUJER,FEMENINO,MESTIZO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
47,MUJER,FEMENINO,MESTIZO/A,NO DETERMINADO,OTROS,NINGUNA,SIN_DATO,SIN_DATO
48,MUJER,FEMENINO,MESTIZO/A,NO DETERMINADO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO
49,MUJER,FEMENINO,MULATO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,BASICA
50,MUJER,FEMENINO,MULATO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
51,MUJER,FEMENINO,NO DETERMINADO,SOLTERO,COLOMBIA,NINGUNA,SIN_DATO,SIN_DATO
52,MUJER,FEMENINO,NO DETERMINADO,NO DETERMINADO,ECUADOR,NINGUNA,SIN_DATO,SIN_DATO
53,MUJER,FEMENINO,NO DETERMINADO,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
54,MUJER,FEMENINO,NO DETERMINADO,NO DETERMINADO,OTROS,NINGUNA,SIN_DATO,SIN_DATO
55,MUJER,FEMENINO,NO DETERMINADO,NO DETERMINADO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO
56,MUJER,FEMENINO,OTROS,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
57,MUJER,FEMENINO,OTROS,SOLTERO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO
58,MUJER,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
59,MUJER,MASCULINO,MESTIZO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
60,MUJER,TRANSEXUAL,MESTIZO/A,CASADO,ECUADOR,NINGUNA,PROFESIONAL MAGISTER,SIN_DATO
61,NO DETERMINADO,MASCULINO,MESTIZO/A,NO DETERMINADO,ECUADOR,NINGUNA,SIN_DATO,SIN_DATO
62,NO DETERMINADO,NO APLICA,NO DETERMINADO,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
63,NO DETERMINADO,NO APLICA,NO DETERMINADO,NO DETERMINADO,OTROS,NINGUNA,SIN_DATO,SIN_DATO
64,NO DETERMINADO,NO APLICA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO
