id_delito,tipo_muerte,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,area_hecho,lugar,tipo_lugar
90,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,TERRENO BALDÍO,PÚBLICO
91,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,TRANSPORTE PRIVADO,PRIVADO
92,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,TRANSPORTE PÚBLICO,PÚBLICO
93,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,VÍA PÚBLICA,PÚBLICO
94,ASESINATO,ARMA DE FUEGO,FUSIL,TRANSNACIONAL,TRÁFICO DE ARMAS,HERIDA POR ARMA DE FUEGO,URBANO,MECÁNICAS,PRIVADO
95,HOMICIDIO,ARMA DE FUEGO,FUSIL,VIOLENCIA COMUNITARIA,ACTOS DE ODIO,HERIDA POR ARMA DE FUEGO,RURAL,VÍA PÚBLICA,PÚBLICO
96,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,BARES,PRIVADO
97,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,CANCHAS DE USO MÚLTIPLE,PÚBLICO
98,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,URBANO,CASA/VILLA,PRIVADO
99,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,FINCA,PRIVADO
100,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,URBANO,GASOLINERAS,PRIVADO
101,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,URBANO,HACIENDAS,PRIVADO
102,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,HOTELES,PRIVADO
103,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,MAR,PÚBLICO
104,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,MECÁNICAS,PRIVADO
105,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,URBANO,MERCADOS,PÚBLICO
106,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,OTROS CENTROS DE DIVERSIÓN,PRIVADO
107,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,OTROS LOCALES COMERCIALES,PRIVADO
108,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,PARQUES Y PLAZAS,PÚBLICO
109,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,RESTAURANTE,PRIVADO
110,HOMICIDIO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,TERRENO BALDÍO,PÚBLICO
111,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,"TIENDAS, MICROMERCADO, ABARROTES",PRIVADO
112,ASESINATO,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,VÍA PÚBLICA,PÚBLICO
113,ASESINATO,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,CASA/VILLA,PRIVADO
114,ASESINATO,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,URBANO,HACIENDAS,PRIVADO
115,ASESINATO,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,INTERIOR DE VEHÍCULO PARTICULAR,PRIVADO
116,ASESINATO,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,URBANO,PUERTOS,PÚBLICO
117,ASESINATO,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,RESTAURANTE,PRIVADO
118,ASESINATO,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,TRANSPORTE PÚBLICO,PÚBLICO
119,ASESINATO,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,VÍA PÚBLICA,PÚBLICO
120,FEMICIDIO,ARMA DE FUEGO,OTROS ARMA LARGA,VIOLENCIA INTRAFAMILIAR,MALTRATO,HERIDA POR ARMA DE FUEGO,RURAL,CASA/VILLA,PRIVADO
121,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,BARES,PRIVADO
